verified_utc,credential_id,country,site_code,site_name,vendor,backend,site_id_on_vendor_before,verify_ok,verify_message,discovered_site_id,discovered_equipment_count,write_results
2026-05-25T11:49:32.738949+00:00,2,LS,KET,Ketane,sinosoar,sinosoarcloud,102,yes,Connected to Sinosoar project 'Ketane'.,102,8,yes
2026-05-25T11:49:34.821921+00:00,1,LS,MAK,Ha Makebe,sinosoar,sinosoarcloud,103,yes,Connected to Sinosoar project 'Ha Makebe (MAK)'.,103,8,yes
2026-05-25T11:49:37.102071+00:00,4,LS,MAS,Mashai,sinosoar,sinosoarcloud,99,yes,Connected to Sinosoar project 'MAS-SHG(mashai_sehonghong)..'.,99,8,yes
2026-05-25T11:49:39.979309+00:00,3,LS,MAT,Matsoaing,sinosoar,sinosoarcloud,101,yes,Connected to Sinosoar project 'MAT(Matsoaing)'.,101,8,yes
2026-05-25T11:49:41.141166+00:00,9,LS,SEB,Sebapala,sinosoar,sinosoarcloud,104,yes,Connected to Sinosoar project 'Tosing + Sebapala'.,104,8,yes
2026-05-25T11:49:42.141908+00:00,6,LS,SEH,Sehlabathebe,sinosoar,sinosoarcloud,97,yes,Connected to Sinosoar project 'SEH( Sehlaba Thebe)'.,97,8,yes
2026-05-25T11:49:43.382096+00:00,5,LS,SHG,Sehonghong,sinosoar,sinosoarcloud,99,yes,Connected to Sinosoar project 'MAS-SHG(mashai_sehonghong)..'.,99,8,yes
2026-05-25T11:49:44.360658+00:00,7,LS,TLH,Tlhanyaku,sinosoar,sinosoarcloud,95,yes,Connected to Sinosoar project 'TLH(Tlhanyaku)'.,95,8,yes
2026-05-25T11:49:45.289944+00:00,8,LS,TOS,Tosing,sinosoar,sinosoarcloud,104,yes,Connected to Sinosoar project 'Tosing + Sebapala'.,104,8,yes
