id,name,connectionStatus,lastUpdateTime,createdDate,locationAddress
62193608,KOTOKPA,NO_DEVICE,,1779435950.0,"Kotokpa, Benin"
62193614,TEST-BENIN,NO_DEVICE,,1779436037.0,Benin
62193615,TEST-LESOTHO,NO_DEVICE,,1779436041.0,Lesotho
62193624,KOTOKPA,NO_DEVICE,,1779436187.0,"KOTOKPA, Benin"
62193625,AGLAMINDJODJI,NO_DEVICE,,1779436188.0,"AGLAMINDJODJI, Benin"
62193626,SAMIONTA,NO_DEVICE,,1779436190.0,"SAMIONTA, Benin"
62193627,LSB,PARTIAL_OFFLINE,1779704036.0,1779436191.0,"Lets'eng-la-Baroa, Lesotho"
