verified_utc,credential_id,country,site_code,site_name,vendor,backend,site_id_on_vendor_before,verify_ok,verify_message,discovered_site_id,discovered_equipment_count,write_results
2026-05-25T11:44:43.541967+00:00,2,LS,KET,Ketane,sinosoar,sinosoarcloud,102,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.544197+00:00,1,LS,MAK,Ha Makebe,sinosoar,sinosoarcloud,103,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.546435+00:00,4,LS,MAS,Mashai,sinosoar,sinosoarcloud,99,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.548465+00:00,3,LS,MAT,Matsoaing,sinosoar,sinosoarcloud,101,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.550532+00:00,9,LS,SEB,Sebapala,sinosoar,sinosoarcloud,104,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.552537+00:00,6,LS,SEH,Sehlabathebe,sinosoar,sinosoarcloud,97,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.554580+00:00,5,LS,SHG,Sehonghong,sinosoar,sinosoarcloud,99,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.556587+00:00,7,LS,TLH,Tlhanyaku,sinosoar,sinosoarcloud,95,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
2026-05-25T11:44:43.558695+00:00,8,LS,TOS,Tosing,sinosoar,sinosoarcloud,104,no,"Sinosoar adapter is a stub. Credentials accepted and will be encrypted at rest, but live fetch is not wired yet. See gensite/adapters/sinosoar.py for the implementation plan.",,0,yes
